datetime,open,high,low,close,volume
2024-01-03,7.127,9.626,6.625,7.895,18863188.7
2024-01-04,7.897,8.6,7.607,7.985,6744897.19
2024-01-05,7.985,8.121,6.91,7.242,4053977.93
2024-01-06,7.244,7.548,6.567,7.329,3514801.9
2024-01-07,7.328,7.668,6.561,6.639,2869291.4
2024-01-08,6.641,7.199,6.144,7.012,3169423.81
2024-01-09,7.013,7.179,6.405,6.812,2286728.49
2024-01-10,6.812,7.389,6.523,7.182,1950002.88
2024-01-11,7.181,7.8,7.115,7.735,2023092.85
2024-01-12,7.738,8.346,7.505,7.961,3830039.48
2024-01-13,7.964,8.142,7.556,7.944,2233364.72
2024-01-14,7.944,8.051,7.559,7.601,1382448.87
2024-01-15,7.597,9.3,7.562,9.014,6962234.99
2024-01-16,9.014,9.377,8.65,8.772,3599372.6
2024-01-17,8.771,8.92,8.266,8.516,1907986.48
2024-01-18,8.517,8.655,7.749,7.954,1632127.28
2024-01-19,7.959,7.996,7.224,7.697,1483996.64
2024-01-20,7.697,7.979,7.593,7.789,900326.12
2024-01-21,7.786,7.847,7.528,7.548,834605.43
2024-01-22,7.546,7.688,6.904,7.02,1458686.01
2024-01-23,7.019,7.28,6.522,6.952,1426832.78
2024-01-24,6.951,7.084,6.78,7.03,768005.05
2024-01-25,7.031,7.051,6.713,6.948,772008.75
2024-01-26,6.948,7.265,6.868,7.236,861742.66
2024-01-27,7.235,7.334,7.076,7.295,597547.96
2024-01-28,7.295,7.389,6.931,7.01,667755.19
2024-01-29,7.012,7.35,6.959,7.292,694010.6
2024-01-30,7.294,7.35,7.018,7.097,943856.74
2024-01-31,7.098,7.117,6.77,6.84,734718.05
2024-02-01,6.841,7.319,6.732,7.126,1767190.13
2024-02-02,7.129,7.215,6.913,7.084,546294.54
2024-02-03,7.091,7.166,6.93,6.952,447142.08
2024-02-04,6.95,6.953,6.77,6.822,448011.54
2024-02-05,6.818,7.146,6.658,7.014,789925.26
2024-02-06,7.015,7.1,6.89,6.997,461261.44
2024-02-07,6.999,7.3,6.76,7.246,1093324.33
2024-02-08,7.241,7.275,7.081,7.184,607964.0
2024-02-09,7.187,7.8,7.184,7.608,1253666.55
2024-02-10,7.611,7.732,7.421,7.6,618664.77
2024-02-11,7.598,7.635,7.335,7.393,739591.36
2024-02-12,7.392,7.772,7.155,7.657,843554.75
2024-02-13,7.658,8.5,7.457,7.787,3071917.64
2024-02-14,7.789,8.71,7.714,8.193,3119723.45
2024-02-15,8.192,8.444,8.016,8.139,1446468.28
2024-02-16,8.137,8.489,8.023,8.236,1444606.74
2024-02-17,8.241,8.424,7.814,8.227,1248932.79
2024-02-18,8.227,9.379,8.19,8.908,3508634.18
2024-02-19,8.909,10.215,8.88,9.215,3203286.01
2024-02-20,9.215,9.457,8.75,9.082,2509739.78
2024-02-21,9.078,9.087,8.201,8.671,1437980.78
2024-02-22,8.674,9.036,8.416,8.535,1425326.26
2024-02-23,8.542,8.78,8.274,8.452,880752.86
2024-02-24,8.453,8.841,8.177,8.773,746003.94
2024-02-25,8.774,8.969,8.527,8.798,718800.73
2024-02-26,8.801,9.023,8.436,9.001,966651.9
2024-02-27,9.003,9.41,8.65,8.851,1855951.29
2024-02-28,8.85,9.095,7.535,8.467,2142744.82
2024-02-29,8.467,9.198,8.432,8.9,1896907.89
2024-03-01,8.899,11.55,8.862,10.169,7913097.94
2024-03-02,10.173,10.497,9.883,10.244,1943191.21
2024-03-03,10.243,10.295,8.541,9.923,1985077.17
2024-03-04,9.924,10.479,9.301,9.603,1958157.43
2024-03-05,9.603,10.312,8.111,9.503,3232467.01
2024-03-06,9.502,10.378,9.085,10.3,1940693.5
2024-03-07,10.299,11.516,10.143,11.51,2172872.51
2024-03-08,11.511,14.446,11.204,12.15,5803758.86
2024-03-09,12.156,12.447,11.719,11.84,2091415.99
2024-03-10,11.847,11.856,10.669,11.447,2586998.38
2024-03-11,11.449,11.63,10.568,11.545,1682201.52
2024-03-12,11.547,12.056,10.611,11.626,1824164.67
2024-03-13,11.63,12.2,11.419,12.19,1128285.26
